transaction_id,transaction_date,value_date,customer_id,account_id,account_type,txn_type,channel,direction,amount,currency,merchant_category,region,risk_score,is_fraud_suspected
TXN0000015,2024-01-02,2024-01-03,CUST00355,ACC00001206,CURRENT,INTEREST,ATM,DEBIT,1572.84,SGD,ATM_CASH,DPS,0.152,0
TXN0000016,2024-03-28,2024-03-28,CUST00428,ACC00000086,SAVINGS,TRANSFER_OUT,MOBILE,CREDIT,5968.19,IDR,RETAIL,MDN,0.08,0
TXN0000017,2024-01-30,2024-01-30,CUST00112,ACC00001491,SAVINGS,INTEREST,POS,DEBIT,7892.02,SGD,FEE,SBY,0.077,0
TXN0000018,2024-02-07,2024-02-07,CUST00316,ACC00000926,CREDIT_CARD,WITHDRAWAL,MOBILE,DEBIT,5356.73,IDR,E_COMMERCE,OTHERS,0.283,0
TXN0000019,2024-01-02,2024-01-02,CUST00446,ACC00000053,CREDIT_CARD,WITHDRAWAL,INTERNET,CREDIT,24643.45,IDR,RETAIL,OTHERS,0.126,0
TXN0000020,2024-03-04,2024-03-04,CUST00343,ACC00000860,LOAN,TRANSFER_IN,ATM,CREDIT,4086477.1199999996,USD,DINING,SBY,0.146,0
TXN0000021,2024-02-29,2024-02-29,CUST00145,ACC00000867,CREDIT_CARD,PAYMENT,SWIFT,CREDIT,37913.98,IDR,RENT,OTHERS,0.01,0
TXN0000022,2024-01-21,2024-01-22,CUST00065,ACC00001259,LOAN,REVERSAL,BRANCH,CREDIT,8410.39,USD,GROCERY,OTHERS,0.104,0
TXN0000023,2024-02-02,2024-02-03,CUST00247,ACC00000433,CURRENT,WITHDRAWAL,ATM,CREDIT,20890.61,IDR,SALARY,DPS,0.02,0
TXN0000024,2024-03-16,2024-03-16,CUST00223,ACC00000999,CREDIT_CARD,FEE,BRANCH,DEBIT,10374.25,IDR,DINING,SBY,0.088,0
TXN0000025,2024-02-27,2024-02-28,CUST00479,ACC00000100,LOAN,PAYMENT,INTERNET,DEBIT,9573.04,IDR,INSURANCE,JKT,0.093,0
TXN0000026,2024-01-22,2024-01-22,CUST00490,ACC00000990,CREDIT_CARD,PAYMENT,INTERNET,DEBIT,5575.24,IDR,FEE,JKT,0.178,0
TXN0000027,2024-03-29,2024-03-30,CUST00313,ACC00000599,CURRENT,WITHDRAWAL,BRANCH,CREDIT,1325.42,IDR,UTILITIES,JKT,0.102,0
TXN0000028,2024-02-18,2024-02-19,CUST00439,ACC00000403,CURRENT,DEPOSIT,ATM,CREDIT,13491.74,SGD,TRANSPORT,OTHERS,0.255,0
TXN0000029,2024-02-28,2024-02-29,CUST00106,ACC00000396,LOAN,TRANSFER_IN,INTERNET,CREDIT,20400.38,IDR,LOAN_REPAYMENT,SBY,0.076,0
TXN0000030,2024-02-11,2024-02-12,CUST00181,ACC00000415,SAVINGS,FEE,SWIFT,DEBIT,2391.09,IDR,LOAN_REPAYMENT,DPS,0.067,0
TXN0000031,2024-02-29,2024-02-29,CUST00184,ACC00000939,CURRENT,INTEREST,SWIFT,DEBIT,8040.46,SGD,FEE,MDN,0.264,0
TXN0000032,2024-03-20,2024-03-20,CUST00226,ACC00000677,CURRENT,TRANSFER_IN,BRANCH,DEBIT,17913.64,IDR,INSURANCE,BDG,0.193,0
TXN0000033,2024-01-15,2024-01-15,CUST00265,ACC00000463,CURRENT,FEE,INTERNET,CREDIT,6077.82,IDR,ATM_CASH,DPS,0.5,0
TXN0000034,2024-03-02,2024-03-03,CUST00278,ACC00000541,CURRENT,INTEREST,ATM,DEBIT,21046.36,SGD,LOAN_REPAYMENT,DPS,0.093,0
TXN0000035,2024-03-02,2024-03-02,CUST00397,ACC00001388,SAVINGS,REVERSAL,MOBILE,CREDIT,7242.88,SGD,GROCERY,MDN,0.067,0
TXN0000036,2024-02-16,2024-02-16,CUST00089,ACC00001154,CURRENT,TRANSFER_IN,BRANCH,CREDIT,5323.43,IDR,RENT,BDG,0.024,0
TXN0000037,2024-03-02,2024-03-02,CUST00176,ACC00000084,SAVINGS,PAYMENT,BRANCH,DEBIT,22031.52,IDR,ATM_CASH,OTHERS,0.136,0
TXN0000038,2024-02-20,2024-02-21,CUST00018,ACC00000271,CREDIT_CARD,DEPOSIT,MOBILE,CREDIT,3839.11,IDR,FEE,MDN,0.163,0
TXN0000039,2024-02-24,2024-02-24,CUST00371,ACC00000244,SAVINGS,TRANSFER_IN,SWIFT,CREDIT,4537.25,USD,ATM_CASH,OTHERS,0.03,0
TXN0000040,2024-03-04,2024-03-04,CUST00460,ACC00000388,LOAN,TRANSFER_IN,POS,CREDIT,3958.27,USD,UTILITIES,OTHERS,0.162,0
TXN0000041,2024-01-03,2024-01-03,CUST00424,ACC00000214,CREDIT_CARD,TRANSFER_IN,INTERNET,DEBIT,3248.42,SGD,GROCERY,OTHERS,0.1,0
TXN0000042,2024-02-20,2024-02-20,CUST00401,ACC00000818,SAVINGS,INTEREST,BRANCH,DEBIT,9158.4,IDR,RENT,OTHERS,0.138,0
TXN0000043,2024-01-07,2024-01-07,CUST00399,ACC00001190,SAVINGS,PAYMENT,SWIFT,CREDIT,5375.74,IDR,TRANSPORT,BDG,0.148,0
TXN0000044,2024-01-21,2024-01-21,CUST00106,ACC00000059,SAVINGS,DEPOSIT,INTERNET,DEBIT,11978.76,IDR,ATM_CASH,OTHERS,0.173,0
TXN0000045,2024-03-13,2024-03-13,CUST00271,ACC00000883,SAVINGS,FEE,SWIFT,CREDIT,2022.9,IDR,RENT,SBY,0.058,0
TXN0000046,2024-02-08,2024-02-08,CUST00463,ACC00000843,SAVINGS,TRANSFER_OUT,ATM,CREDIT,3300.94,SGD,SALARY,DPS,0.091,0
TXN0000047,2024-01-18,2024-01-18,CUST00319,ACC00000924,SAVINGS,INTEREST,ATM,DEBIT,8444.44,IDR,SALARY,MDN,0.166,0
TXN0000048,2024-01-04,2024-01-04,CUST00167,ACC00000123,LOAN,REVERSAL,BRANCH,CREDIT,26258.49,IDR,DINING,BDG,0.211,0
TXN0000049,2024-03-29,2024-03-29,CUST00013,ACC00001437,LOAN,TRANSFER_IN,BRANCH,DEBIT,10968.71,IDR,SALARY,DPS,0.164,0
TXN0000050,2024-02-29,2024-02-29,CUST00337,ACC00001163,LOAN,REVERSAL,BRANCH,CREDIT,5056.79,SGD,RENT,OTHERS,0.139,0
TXN0000051,2024-01-14,2024-01-15,CUST00032,ACC00001253,SAVINGS,FEE,SWIFT,CREDIT,433158.88,IDR,DINING,MDN,0.067,0
TXN0000052,2024-01-09,2024-01-09,CUST00393,ACC00001298,CREDIT_CARD,REVERSAL,POS,DEBIT,4825.76,SGD,RETAIL,OTHERS,0.338,0
TXN0000053,2024-03-30,2024-03-30,CUST00040,ACC00000439,LOAN,PAYMENT,POS,CREDIT,7832.31,USD,SALARY,BDG,0.397,0
TXN0000054,2024-02-22,2024-02-23,CUST00148,ACC00001022,CURRENT,PAYMENT,ATM,CREDIT,1228.87,SGD,ATM_CASH,BDG,0.06,0
TXN0000055,2024-01-02,2024-01-02,CUST00218,ACC00000562,CURRENT,INTEREST,INTERNET,DEBIT,3069.6,IDR,INSURANCE,SBY,0.131,0
TXN0000056,2024-03-24,2024-03-25,CUST00219,ACC00000118,SAVINGS,TRANSFER_OUT,INTERNET,DEBIT,4491.56,IDR,RETAIL,BDG,0.442,0
TXN0000057,2024-02-29,2024-02-29,CUST00469,ACC00000905,CREDIT_CARD,PAYMENT,MOBILE,CREDIT,6595.04,USD,ATM_CASH,SBY,0.121,0
TXN0000058,2024-03-11,2024-03-11,CUST00082,ACC00000395,LOAN,WITHDRAWAL,SWIFT,DEBIT,7758.4,USD,TRANSPORT,MDN,0.215,0
TXN0000059,2024-02-13,2024-02-13,CUST00333,ACC00000876,SAVINGS,PAYMENT,INTERNET,CREDIT,4970.65,USD,TRANSPORT,OTHERS,0.185,0
TXN0000060,2024-01-08,2024-01-09,CUST00208,ACC00001484,CREDIT_CARD,INTEREST,ATM,CREDIT,12145.31,IDR,TRANSPORT,OTHERS,0.151,1
TXN0000061,2024-02-16,2024-02-16,CUST00201,ACC00000935,CURRENT,FEE,SWIFT,DEBIT,8953.19,IDR,RENT,OTHERS,0.339,0
TXN0000062,2024-02-04,2024-02-05,CUST00447,ACC00001102,LOAN,WITHDRAWAL,POS,CREDIT,6026.67,IDR,RENT,DPS,0.148,0
TXN0000063,2024-03-18,2024-03-19,CUST00332,ACC00000952,SAVINGS,WITHDRAWAL,SWIFT,DEBIT,13561.91,IDR,E_COMMERCE,OTHERS,0.137,0
TXN0000064,2024-03-21,2024-03-21,CUST00428,ACC00001436,SAVINGS,WITHDRAWAL,MOBILE,CREDIT,12702.48,USD,INSURANCE,BDG,0.142,0
TXN0000065,2024-02-05,2024-02-06,CUST00038,ACC00000075,CREDIT_CARD,TRANSFER_OUT,SWIFT,CREDIT,2532.5,SGD,E_COMMERCE,OTHERS,0.112,0
TXN0000066,2024-02-19,2024-02-19,CUST00211,ACC00000295,SAVINGS,WITHDRAWAL,POS,DEBIT,7898.1,USD,DINING,OTHERS,0.273,0
TXN0000067,2024-01-04,2024-01-05,CUST00444,ACC00000021,SAVINGS,TRANSFER_IN,ATM,CREDIT,16518.04,SGD,UTILITIES,SBY,0.047,0
TXN0000068,2024-01-02,2024-01-02,CUST00327,ACC00001195,LOAN,DEPOSIT,INTERNET,CREDIT,18882.51,IDR,RENT,JKT,0.082,0
TXN0000069,2024-01-06,2024-01-06,CUST00249,ACC00001039,CURRENT,WITHDRAWAL, INTERNET ,DEBIT,10902.28,IDR,RENT,BDG,0.123,0
TXN0000070,2024-02-23,2024-02-24,CUST00227,ACC00001235,CURRENT,PAYMENT,ATM,CREDIT,6723.53,IDR,FEE,JKT,0.22,0
TXN0000071,2024-01-04,2024-01-04,CUST00048,ACC00000560,CREDIT_CARD,REVERSAL,MOBILE,CREDIT,11350.94,SGD,LOAN_REPAYMENT,MDN,0.116,0
TXN0000072,2024-02-23,2024-02-23,CUST00018,ACC00001110,CURRENT,DEPOSIT,INTERNET,DEBIT,15463.21,USD,DINING,BDG,0.229,0
TXN0000073,2024-03-03,2024-03-03,CUST00400,ACC00001173,CREDIT_CARD,INTEREST,POS,DEBIT,8889.85,IDR,ATM_CASH,JKT,0.131,0
TXN0000074,2024-01-18,2024-01-18,CUST00439,ACC00000372,LOAN,TRANSFER_IN,SWIFT,DEBIT,9729.16,IDR,E_COMMERCE,BDG,0.411,0
TXN0000075,2024-03-30,2024-03-30,CUST00295,ACC00000818,CREDIT_CARD,REVERSAL,INTERNET,DEBIT,6635.29,IDR,LOAN_REPAYMENT,OTHERS,0.182,0
TXN0000076,2024-02-13,2024-02-13,CUST00196,ACC00001175,CURRENT,REVERSAL,ATM,DEBIT,2781.02,USD,TRANSPORT,SBY,0.334,0
TXN0000077,2024-02-03,2024-02-03,CUST00187,ACC00001165,SAVINGS,WITHDRAWAL,ATM,DEBIT,7048.07,IDR,TRANSPORT,MDN,0.22,0
TXN0000078,2024-03-14,2024-03-14,CUST00345,ACC00001093,LOAN,INTEREST,ATM,CREDIT,4714.08,IDR,GROCERY,BDG,0.07,0
TXN0000079,2024-03-02,2024-03-03,CUST00224,ACC00001284,CURRENT,DEPOSIT,MOBILE,CREDIT,4726.13,SGD,LOAN_REPAYMENT,JKT,0.055,0
TXN0000080,2024-01-14,2024-01-14,CUST00318,ACC00000846,LOAN,TRANSFER_OUT,SWIFT,CREDIT,25516.17,IDR,RENT,OTHERS,0.118,0
TXN0000081,2024-02-17,2024-02-17,CUST00488,ACC00000521,CREDIT_CARD,DEPOSIT,MOBILE,DEBIT,17348.23,SGD,E_COMMERCE,BDG,0.065,0
TXN0000082,2024-01-15,2024-01-15,CUST00397,ACC00000371,CURRENT,INTEREST,INTERNET,CREDIT,2090.59,IDR,LOAN_REPAYMENT,JKT,0.023,0
TXN0000083,2024-03-12,2024-03-12,CUST00365,ACC00001443,SAVINGS,FEE,INTERNET,DEBIT,3401.93,SGD,SALARY,SBY,0.526,0
TXN0000084,2024-03-18,2024-03-18,CUST00337,ACC00000101,SAVINGS,TRANSFER_OUT,POS,CREDIT,6058.09,SGD,SALARY,SBY,0.236,0
TXN0000085,2024-03-27,2024-03-28,CUST00497,ACC00000661,SAVINGS,DEPOSIT,BRANCH,DEBIT,4853.69,IDR,FEE,MDN,0.055,0
TXN0000086,2024-03-02,2024-03-02,CUST00229,ACC00000968,SAVINGS,REVERSAL,BRANCH,DEBIT,10445.58,USD,LOAN_REPAYMENT,DPS,0.135,0
TXN0000087,2024-02-09,2024-02-10,CUST00390,ACC00000243,LOAN,TRANSFER_IN,ATM,CREDIT,2996.3,SGD, LOAN_REPAYMENT ,SBY,0.267,0
TXN0000088,2024-03-25,2024-03-26,CUST00467,ACC00000753,CURRENT,TRANSFER_OUT,ATM,DEBIT,17445.3,IDR,ATM_CASH,MDN,0.219,0
TXN0000089,2024-03-20,2024-03-21,CUST00077,ACC00000512,SAVINGS,TRANSFER_IN,BRANCH,DEBIT,7822.78,IDR,UTILITIES,MDN,0.236,0
TXN0000090,2024-03-22,2024-03-22,CUST00188,ACC00000849,SAVINGS,WITHDRAWAL,ATM,CREDIT,6170.84,IDR, DINING ,MDN,0.195,0
TXN0000091,2024-02-22,2024-02-23,CUST00346,ACC00000555,SAVINGS,FEE,POS,CREDIT,8010.79,IDR,ATM_CASH,OTHERS,0.382,0
TXN0000092,2024-01-24,2024-01-25,CUST00270,ACC00001119,CREDIT_CARD,TRANSFER_IN,BRANCH,CREDIT,5802.21,SGD,UTILITIES,DPS,0.104,0
TXN0000093,2024-01-26,2024-01-26,CUST00095,ACC00000226,CURRENT,FEE,SWIFT,CREDIT,1596.37,USD,ATM_CASH,OTHERS,0.03,0
TXN0000094,2024-03-29,2024-03-30,CUST00310,ACC00000214,LOAN,DEPOSIT,BRANCH,DEBIT,8180.76,USD,RENT,DPS,0.208,0
TXN0000095,2024-02-29,2024-03-01,CUST00132,ACC00000718,CREDIT_CARD,INTEREST,INTERNET,CREDIT,6269.19,USD,ATM_CASH,MDN,0.227,0
TXN0000096,2024-02-10,2024-02-10,CUST00039,ACC00000067,CREDIT_CARD,REVERSAL,SWIFT,CREDIT,3776.05,IDR,LOAN_REPAYMENT,MDN,0.062,0
TXN0000097,2024-01-29,2024-01-29,CUST00072,ACC00000396,LOAN,INTEREST,POS,CREDIT,19495.6,IDR,INSURANCE,DPS,0.088,0
TXN0000098,15/01/2024,2024-01-15,CUST00281,ACC00000612,SAVINGS,TRANSFER_IN,MOBILE,CREDIT,13843.21,IDR,FEE,JKT,0.289,0
TXN0000099,2024-02-14,2024-02-14,CUST00333,ACC00001036,SAVINGS,FEE,POS,DEBIT,57015.89,SGD,TRANSPORT,OTHERS,0.062,0
TXN0000100,2024-03-05,2024-03-05,CUST00160,ACC00001261,CURRENT,WITHDRAWAL,MOBILE,DEBIT,15801.54,IDR,GROCERY,OTHERS,0.106,0
TXN0000101,2024-03-29,2024-03-30,CUST00187,ACC00000770,SAVINGS,FEE,INTERNET,CREDIT,4842.82,USD,INSURANCE,MDN,0.178,0
TXN0000102,,,,,,,,,,,,,,
TXN0000103,2024-01-09,2024-01-10,CUST00191,ACC00000407,CREDIT_CARD,WITHDRAWAL,SWIFT,CREDIT,5456.46,SGD,INSURANCE,DPS,0.306,0
TXN0000104,2024-03-28,2024-03-28,CUST00422,ACC00000925,CREDIT_CARD,PAYMENT,BRANCH,DEBIT,4753.79,IDR,RETAIL,BDG,0.142,0
TXN0000105,2024-01-01,2024-01-02,CUST00120,ACC00000647,LOAN,PAYMENT,POS,DEBIT,8839.86,USD,LOAN_REPAYMENT,BDG,0.029,0
TXN0000106,2024-01-08,2024-01-08,CUST00220,ACC00000222,SAVINGS,REVERSAL,INTERNET,DEBIT,2366.01,IDR,LOAN_REPAYMENT,MDN,0.18,0
TXN0000107,2024-03-28,2024-03-28,CUST00053,ACC00001180,SAVINGS,PAYMENT,ATM,DEBIT,13600.06,USD,SALARY,JKT,0.16,0
TXN0000108,2024-03-03,2024-03-03,CUST00222,ACC00000654,SAVINGS,PAYMENT,POS,CREDIT,8716.36,IDR,LOAN_REPAYMENT,MDN,0.029,0
TXN0000109,2024-01-11,2024-01-11,CUST00451,ACC00000428,SAVINGS,TRANSFER_OUT,ATM,DEBIT,12406.45,IDR,FEE,BDG,0.096,1
TXN0000110,2024-03-21,2024-03-21,CUST00412,ACC00001182,CURRENT,DEPOSIT,BRANCH,CREDIT,3244.39,SGD,RETAIL,DPS,0.043,0
TXN0000111,2024-01-08,2024-01-08,CUST00131,ACC00000977,CURRENT,INTEREST,BRANCH,DEBIT,9870.95,USD,SALARY,OTHERS,0.067,0
TXN0000112,2024-02-04,2024-02-04,CUST00237,ACC00001440,CREDIT_CARD,TRANSFER_OUT,BRANCH,CREDIT,22910.29,IDR,DINING,JKT,0.461,0
TXN0000113,2024-02-04,2024-02-04,CUST00246,ACC00001006,CREDIT_CARD,PAYMENT,MOBILE,CREDIT,4070.8,IDR,SALARY,BDG,0.027,0
TXN0000114,2024-02-02,2024-02-02,CUST00226,ACC00001350,LOAN,DEPOSIT,BRANCH,DEBIT,3982.7,USD,DINING,DPS,0.18,0
TXN0000115,2024-01-05,2024-01-06,CUST00208,ACC00000371,CREDIT_CARD,REVERSAL,SWIFT,DEBIT,14322.2,IDR,RENT,BDG,0.04,0
TXN0000116,2024-02-10,2024-02-11,CUST00406,ACC00001368,SAVINGS,REVERSAL,SWIFT,DEBIT,3732.22,IDR,SALARY,DPS,0.03,0
TXN0000117,2024-01-28,2024-01-28,CUST00096,ACC00001286,CREDIT_CARD,DEPOSIT,INTERNET,CREDIT,6723.56,IDR,INSURANCE,OTHERS,0.2,0
TXN0000118,2024-01-07,2024-01-07,CUST00422,ACC00001307,CREDIT_CARD,FEE,ATM,CREDIT,26385.93,IDR,TRANSPORT,MDN,0.346,0
TXN0000119,2024-03-13,2024-03-14,CUST00200,ACC00000850,CURRENT,DEPOSIT,MOBILE,DEBIT,4028.16,IDR,FEE,DPS,0.172,0
TXN0000120,2024-03-12,2024-03-12,CUST00247,ACC00000856,SAVINGS,REVERSAL,ATM,CREDIT,27876.9,IDR,UTILITIES,DPS,0.069,0
TXN0000121,2024-01-12,2024-01-12,CUST00072,ACC00000229,LOAN,FEE,POS,DEBIT,6194.24,USD,RETAIL,JKT,0.385,0
TXN0000122,2024-02-03,2024-02-04,CUST00318,ACC00000280,LOAN,PAYMENT,ATM,CREDIT,3304.49,IDR,FEE,BDG,0.188,0
TXN0000123,2024-02-02,2024-02-02,CUST00185,ACC00001314,LOAN,FEE,ATM,CREDIT,13134.05,USD,RENT,BDG,0.12,0
TXN0000124,2024-02-17,2024-02-17,CUST00006,ACC00001071,CREDIT_CARD,WITHDRAWAL,POS,CREDIT,8832.55,IDR, LOAN_REPAYMENT ,DPS,0.092,0
TXN0000125,2024-01-23,2024-01-23,CUST00206,ACC00000975,LOAN,DEPOSIT,SWIFT,DEBIT,8188.98,IDR,TRANSPORT,DPS,0.097,0
TXN0000126,2024-03-02,2024-03-02,CUST00032,ACC00001238,LOAN,FEE,MOBILE,DEBIT,4380.97,IDR,LOAN_REPAYMENT,JKT,0.362,0
TXN0000127,2024-03-28,2024-03-28,CUST00099,ACC00000758,LOAN,TRANSFER_IN, POS ,CREDIT,8781.15,IDR,SALARY,DPS,0.077,0
TXN0000128,2024-02-06,2024-02-07,CUST00394,ACC00001048,CURRENT,INTEREST, POS ,CREDIT,1549.82,IDR,GROCERY,JKT,0.076,0
TXN0000129,2024-02-13,2024-02-14,CUST00387,ACC00000321,SAVINGS,FEE,ATM,CREDIT,9652.88,IDR,RENT,SBY,0.434,0
TXN0000130,2024-03-26,2024-03-27,CUST00256,ACC00000274,CURRENT,DEPOSIT,MOBILE,CREDIT,22874.99,IDR,LOAN_REPAYMENT,BDG,0.233,0
TXN0000131,2024-02-04,2024-02-04,CUST00187,ACC00000556,SAVINGS,WITHDRAWAL,BRANCH,DEBIT,1973.68,IDR,ATM_CASH,DPS,0.19,0
TXN0000132,2024-03-05,2024-03-06,CUST00076,ACC00000844,CURRENT,INTEREST,MOBILE,CREDIT,5852.24,IDR,LOAN_REPAYMENT,MDN,0.444,0
TXN0000133,2024-02-16,2024-02-17,CUST00177,ACC00001337,SAVINGS,REVERSAL,BRANCH,CREDIT,4025.03,IDR,ATM_CASH,SBY,0.175,0
TXN0000134,2024-03-18,2024-03-18,CUST00315,ACC00001387,LOAN,TRANSFER_OUT,INTERNET,DEBIT,2419.11,IDR,INSURANCE,BDG,0.106,0
TXN0000135,2024-01-03,2024-01-04,CUST00287,ACC00000668,LOAN,WITHDRAWAL,BRANCH,DEBIT,1568.23,IDR,LOAN_REPAYMENT,OTHERS,0.147,0
TXN0000136,2024-01-01,2024-01-01,CUST00349,ACC00001000,LOAN,TRANSFER_IN,BRANCH,DEBIT,3150.55,SGD,SALARY,JKT,0.31,0
TXN0000137,,,,,,,,,,,,,,
TXN0000138,2024-03-30,2024-03-30,CUST00325,ACC00000711,LOAN,WITHDRAWAL,INTERNET,CREDIT,20318.96,SGD,SALARY,BDG,0.113,0
TXN0000139,2024-01-14,2024-01-14,CUST00190,ACC00001494,CREDIT_CARD,REVERSAL,INTERNET,CREDIT,2396.65,USD,UTILITIES,MDN,0.083,0
TXN0000140,2024-01-27,2024-01-28,CUST00308,ACC00000746,SAVINGS,DEPOSIT,INTERNET,DEBIT,10254.93,IDR,GROCERY,BDG,0.075,0
TXN0000141,2024-01-09,2024-01-09,CUST00345,ACC00000675,CURRENT,TRANSFER_IN,BRANCH,DEBIT,9659.66,IDR,LOAN_REPAYMENT,BDG,0.138,0
TXN0000142,2024-03-19,2024-03-19,CUST00127,ACC00000116,LOAN,PAYMENT,ATM,DEBIT,30870.93,IDR,ATM_CASH,BDG,0.115,0
TXN0000143,2024-01-15,2024-01-15,CUST00425,ACC00000605,LOAN,TRANSFER_OUT,BRANCH,DEBIT,12795.2,IDR,LOAN_REPAYMENT,JKT,0.059,0
TXN0000144,2024-03-30,2024-03-30,CUST00287,ACC00001066,SAVINGS,REVERSAL,INTERNET,CREDIT,13398.25,SGD,FEE,DPS,0.274,0
TXN0000145,2024-02-11,2024-02-11,CUST00254,ACC00000379,LOAN,INTEREST,POS,DEBIT,14177.91,USD,E_COMMERCE,DPS,0.201,0
TXN0000146,2024-03-17,2024-03-18,CUST00213,ACC00001230,LOAN,FEE,SWIFT,CREDIT,3868.47,IDR,SALARY,DPS,0.172,0
TXN0000147,2024-02-20,2024-02-20,CUST00250,ACC00000466,SAVINGS,PAYMENT,SWIFT,CREDIT,5124.26,IDR,RETAIL,DPS,0.314,0
TXN0000148,2024-03-03,2024-03-04,CUST00084,ACC00000280,SAVINGS,FEE,POS,CREDIT,19801.13,IDR,LOAN_REPAYMENT,MDN,0.174,1
TXN0000149,2024-02-21,2024-02-21,CUST00487,ACC00000618,CREDIT_CARD,INTEREST,ATM,DEBIT,1570.83,IDR,FEE,SBY,0.211,0
TXN0000150,2024-01-04,2024-01-05,CUST00383,ACC00000118,CREDIT_CARD,TRANSFER_IN,BRANCH,CREDIT,4694.52,IDR,RENT,SBY,0.039,0
TXN0000151,2024-01-23,2024-01-23,CUST00406,ACC00001261,SAVINGS,PAYMENT,SWIFT,DEBIT,2794.34,IDR,SALARY,BDG,0.122,0
TXN0000152,2024-01-15,2024-01-15,CUST00388,ACC00000309,CURRENT,WITHDRAWAL,BRANCH,DEBIT,9773.16,IDR,E_COMMERCE,BDG,0.055,0
TXN0000153,2024-02-12,2024-02-12,CUST00013,ACC00001480,CREDIT_CARD,REVERSAL,POS,DEBIT,5783.2,IDR,E_COMMERCE,SBY,0.082,0
TXN0000154,2024-01-29,2024-01-30,CUST00045,ACC00001499,SAVINGS,REVERSAL,BRANCH,CREDIT,13370.1,IDR,FEE,BDG,0.196,0
TXN0000155,2024-02-05,2024-02-05,CUST00127,ACC00000100,LOAN,TRANSFER_IN,ATM,CREDIT,7426.45,IDR,LOAN_REPAYMENT,SBY,0.185,0
TXN0000156,2024-01-13,2024-01-14,CUST00426,ACC00000261,CURRENT,TRANSFER_IN,INTERNET,DEBIT,2352.25,IDR,RENT,MDN,0.124,0
TXN0000157,2024-02-01,2024-02-01,CUST00114,ACC00000993,LOAN,FEE,POS,DEBIT,2440.86,IDR,DINING,OTHERS,0.029,0
TXN0000158,2024-03-11,2024-03-12,CUST00433,ACC00001329,CREDIT_CARD,INTEREST,ATM,CREDIT,8063.97,IDR,RENT,DPS,0.187,0
TXN0000159,2024-02-28,2024-02-28,CUST00276,ACC00001378,LOAN,DEPOSIT,POS,CREDIT,4372.51,IDR,GROCERY,JKT,0.354,0
TXN0000160,2024-03-26,2024-03-27,CUST00500,ACC00000286,CURRENT,FEE,BRANCH,DEBIT,5291.69,IDR,RETAIL,JKT,0.229,0
TXN0000161,2024-01-28,2024-01-29,CUST00205,ACC00000328,SAVINGS,TRANSFER_OUT,BRANCH,DEBIT,17166.8,IDR,RETAIL,JKT,0.274,0
TXN0000162,2024-03-06,2024-03-06,CUST00337,ACC00001127,SAVINGS,WITHDRAWAL,SWIFT,DEBIT,14871.86,USD,GROCERY,JKT,0.15,0
